Date,Time,Season Type,Home/Away,Opponent,Conf,SRS,Team_Score,Opponent_Score,Arena,Travel,Result,Game_id,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_Opponent,TOV%_Opponent,ORB%_Opponent,FT/FGA_Opponent
2021-11-09,7:00p,REG,Home,Ohio,MAC,2.13,105.0,69.0,,False,1,1,Ohio,131.3,86.3,80.0,0.324,0.324,0.669,57.4,75.6,7.5,20.8,0.669,13.3,41.4,0.206,0.417,20.3,30.8,0.212
2021-11-11,7:00p,REG,Home,Western Illinois,Summit,-6.45,76.0,50.0,,False,1,2,Western Illinois,96.9,63.7,78.5,0.149,0.27,0.48,73.7,51.5,5.1,25.0,0.466,16.8,52.6,0.095,0.309,11.9,5.3,0.118
2021-11-14,12:00p,REG,Away,Syracuse,ACC,6.62,82.0,56.0,,True,1,3,Syracuse,103.8,70.9,79.0,0.219,0.234,0.58,55.1,59.4,16.5,5.3,0.547,20.3,36.4,0.188,0.343,21.2,36.2,0.114
2021-11-18,7:00p,REG,Home,Fordham,A-10,9.58,71.0,56.0,,False,1,4,Fordham,99.5,78.5,71.7,0.51,0.163,0.583,63.6,50.0,9.8,8.7,0.531,24.7,43.5,0.388,0.373,14.5,25.6,0.09
2021-11-21,5:00p,REG,Home,Bryant,NEC,-20.6,94.0,35.0,,False,1,5,Bryant,122.4,45.6,76.8,0.16,0.213,0.582,63.1,79.5,20.8,16.2,0.56,11.0,42.9,0.133,0.306,32.6,21.6,0.037
2021-11-26,4:30p,REG,Away,Georgia,SEC,21.39,67.0,71.0,,True,0,6,Georgia,74.2,78.6,80.3,0.183,0.211,0.434,52.2,51.9,14.4,8.0,0.401,23.0,24.3,0.141,0.476,24.3,15.6,0.194
2021-11-27,7:00p,REG,Away,Oregon State (16),Pac-12,16.04,64.0,62.0,,True,1,7,Oregon State,87.8,85.1,72.9,0.194,0.104,0.437,39.0,42.3,12.4,2.4,0.41,9.9,19.4,0.134,0.408,23.5,43.9,0.217
2021-12-02,6:00p,REG,Away,Michigan State,Big Ten,12.37,76.0,71.0,,True,1,8,Michigan State,102.3,95.6,74.3,0.212,0.242,0.523,55.4,65.5,5.4,22.2,0.485,16.2,36.1,0.182,0.443,15.3,26.3,0.279
2021-12-05,12:00p,REG,Away,Connecticut (2),Big East,32.74,54.0,73.0,,True,0,9,Connecticut,71.2,96.2,75.9,0.293,0.293,0.409,43.3,66.7,11.9,10.5,0.362,19.5,26.5,0.207,0.533,23.9,34.6,0.131
2021-12-08,7:00p,REG,Away,Valparaiso,MVC,-5.6,73.0,56.0,,True,1,10,Valparaiso,104.7,80.3,69.0,0.246,0.295,0.536,58.5,70.4,4.3,12.5,0.516,18.0,31.4,0.164,0.473,17.1,10.0,0.073
