Date,Time,Season_Type,home,Opponent,Conf,SRS,Team_Score,Opponent_Score,Arena,Travel,Result_1,Game_id
2023-11-06,1:00p,REG,0,South Carolina (6),SEC,45.27,71.0,100.0,,True,0,1
2023-11-12,2:00p,REG,0,NJIT,AEC,-15.56,104.0,57.0,Joel and Diane Bloom Wellness and Events Center,True,1,2
2023-11-15,7:00p,REG,1,Northwestern,Big Ten,-0.56,110.0,52.0,Purcell Pavilion at the Joyce Center,False,1,3
2023-11-18,1:00p,REG,0,Illinois,Big Ten,19.51,79.0,68.0,,True,1,4
2023-11-21,7:00p,REG,1,Chicago State,Ind,-31.63,113.0,35.0,Purcell Pavilion at the Joyce Center,False,1,5
2023-11-24,5:00p,REG,0,Ball State,MAC,8.95,90.0,59.0,Worthen Arena,True,1,6
2023-11-29,5:00p,REG,0,Tennessee (20),SEC,24.54,74.0,69.0,Thompson-Boling Arena,True,1,7
2023-12-06,7:00p,REG,1,Lafayette,Patriot,-17.23,96.0,42.0,Purcell Pavilion at the Joyce Center,False,1,8
2023-12-17,12:00p,REG,1,Purdue,Big Ten,13.29,76.0,39.0,Purcell Pavilion at the Joyce Center,False,1,9
2023-12-21,6:00p,REG,1,Western Michigan,MAC,-8.61,84.0,47.0,Purcell Pavilion at the Joyce Center,False,1,10
2023-12-31,2:00p,REG,0,Syracuse,ACC,19.68,81.0,86.0,JMA Wireless Dome,True,0,11
2024-01-04,6:00p,REG,0,Pittsburgh,ACC,2.24,71.0,66.0,Petersen Events Center,True,1,12
2024-01-07,5:00p,REG,1,North Carolina,ACC,20.96,57.0,61.0,Purcell Pavilion at the Joyce Center,False,0,13
2024-01-11,7:00p,REG,1,Boston College,ACC,12.09,98.0,48.0,Purcell Pavilion at the Joyce Center,False,1,14
2024-01-14,12:00p,REG,1,Miami (FL),ACC,17.4,70.0,59.0,Purcell Pavilion at the Joyce Center,False,1,15
2024-01-18,7:00p,REG,0,Virginia,ACC,15.6,86.0,76.0,John Paul Jones Arena,True,1,16
2024-01-21,2:00p,REG,0,Wake Forest,ACC,6.05,75.0,56.0,Lawrence Joel Coliseum,True,1,17
2024-01-25,7:00p,REG,1,Syracuse (22),ACC,19.68,65.0,79.0,Purcell Pavilion at the Joyce Center,False,0,18
2024-01-27,8:00p,REG,0,Connecticut (8),Big East,37.65,82.0,67.0,Harry A. Gampel Pavilion,True,1,19
2024-02-01,7:00p,REG,0,Georgia Tech,ACC,12.62,85.0,48.0,McCamish Pavilion,True,1,20
2024-02-04,2:00p,REG,1,Pittsburgh,ACC,2.24,78.0,53.0,Purcell Pavilion at the Joyce Center,False,1,21
2024-02-08,6:00p,REG,0,Louisville (15),ACC,24.57,66.0,73.0,KFC Yum! Center,True,0,22
2024-02-11,12:00p,REG,0,Florida State,ACC,19.85,98.0,94.0,Donald L. Tucker Civic Center,True,1,23
2024-02-15,6:00p,REG,1,NC State (6),ACC,30.41,43.0,59.0,Purcell Pavilion at the Joyce Center,False,0,24
2024-02-19,7:00p,REG,0,Duke,ACC,27.57,70.0,62.0,Cameron Indoor Stadium,True,1,25
2024-02-22,7:00p,REG,1,Clemson,ACC,10.54,74.0,47.0,Purcell Pavilion at the Joyce Center,False,1,26
2024-02-25,12:00p,REG,0,Boston College,ACC,12.09,79.0,55.0,,True,1,27
2024-02-29,7:00p,REG,1,Virginia Tech (5),ACC,26.88,71.0,58.0,Purcell Pavilion at the Joyce Center,False,1,28
2024-03-03,2:00p,REG,1,Louisville (22),ACC,24.57,74.0,58.0,Purcell Pavilion at the Joyce Center,False,1,29
2024-03-08,11:00a,CONF,0,Louisville (24),ACC,24.57,77.0,68.0,Greensboro Coliseum,True,1,30
2024-03-09,12:00p,CONF,0,Virginia Tech (11),ACC,26.88,82.0,53.0,Greensboro Coliseum,True,1,31
2024-03-10,1:00p,CONF,0,NC State (10),ACC,30.41,55.0,51.0,Greensboro Coliseum,True,1,32
2024-03-23,2:15p,NCAA,1,Kent State,MAC,4.22,81.0,67.0,Purcell Pavilion at the Joyce Center,False,1,33
2024-03-25,2:00p,NCAA,1,Mississippi,SEC,21.31,71.0,56.0,Purcell Pavilion at the Joyce Center,False,1,34
2024-03-29,2:30p,NCAA,0,Oregon State (12),Pac-12,27.93,65.0,70.0,MVP Arena,True,0,35
2025-11-05,7:00p,REG,1,FDU,NEC,-3.14,98.0,52.0,Purcell Pavilion at the Joyce Center,False,1,36
2025-11-09,3:00p,REG,1,Chicago State,NEC,-23.5,116.0,58.0,Purcell Pavilion at the Joyce Center,False,1,37
2025-11-12,7:00p,REG,1,Akron,MAC,-15.2,85.0,58.0,Purcell Pavilion at the Joyce Center,False,1,38
2025-11-15,4:00p,REG,0,Michigan (14),Big Ten,50.24,54.0,93.0,,True,0,39
2025-11-21,6:00p,REG,1,Southern California (11),Big Ten,30.54,61.0,59.0,Purcell Pavilion at the Joyce Center,False,1,40
2025-11-24,9:00p,REG,1,Central Michigan,MAC,3.44,83.0,51.0,Purcell Pavilion at the Joyce Center,False,1,41
2025-12-04,9:00p,REG,0,Mississippi (13),SEC,28.3,62.0,69.0,The Sandy and John Black Pavilion at Ole Miss,True,0,42
2025-12-07,2:00p,REG,0,Florida State,ACC,9.79,93.0,58.0,Donald L. Tucker Center,True,1,43
2025-12-11,7:00p,REG,1,Morehead State,OVC,-3.92,,,Purcell Pavilion at the Joyce Center,False,0,44
2025-12-14,4:00p,REG,0,James Madison,Sun Belt,18.17,,,Atlantic Union Bank Center,True,0,45
2025-12-21,5:00p,REG,1,Bellarmine,A-Sun,-21.17,,,Purcell Pavilion at the Joyce Center,False,0,46
2025-12-29,7:00p,REG,1,Pittsburgh,ACC,-9.21,,,Purcell Pavilion at the Joyce Center,False,0,47
2026-01-01,4:00p,REG,0,Georgia Tech,ACC,7.08,,,McCamish Pavilion,True,0,48
2026-01-04,,REG,0,Duke,ACC,25.12,,,Cameron Indoor Stadium,True,0,49
2026-01-08,6:00p,REG,1,Boston College,ACC,-2.55,,,Purcell Pavilion at the Joyce Center,False,0,50
2026-01-11,1:00p,REG,1,North Carolina (12),ACC,31.71,,,Purcell Pavilion at the Joyce Center,False,0,51
2026-01-15,7:00p,REG,1,Louisville (22),ACC,32.98,,,Purcell Pavilion at the Joyce Center,False,0,52
2026-01-19,,REG,0,Connecticut (1),Big East,54.16,,,Harry A. Gampel Pavilion,True,0,53
2026-01-22,7:00p,REG,1,Miami (FL),ACC,22.71,,,Purcell Pavilion at the Joyce Center,False,0,54
2026-01-25,3:00p,REG,1,Clemson,ACC,14.75,,,Purcell Pavilion at the Joyce Center,False,0,55
2026-01-29,,REG,0,California,ACC,15.69,,,Haas Pavilion,True,0,56
2026-02-01,4:00p,REG,0,Stanford,ACC,21.8,,,Maples Pavilion,True,0,57
2026-02-05,7:00p,REG,1,Virginia Tech,ACC,15.3,,,Purcell Pavilion at the Joyce Center,False,0,58
2026-02-08,2:00p,REG,0,Virginia,ACC,20.72,,,John Paul Jones Arena,True,0,59
2026-02-15,,REG,1,NC State,ACC,23.96,,,Purcell Pavilion at the Joyce Center,False,0,60
2026-02-19,,REG,0,Wake Forest,ACC,3.65,,,Lawrence Joel Coliseum,True,0,61
2026-02-22,,REG,0,Southern Methodist,ACC,5.31,,,Moody Coliseum,True,0,62
2026-02-26,7:00p,REG,1,Syracuse,ACC,18.53,,,Purcell Pavilion at the Joyce Center,False,0,63
2026-03-01,4:00p,REG,0,Louisville (22),ACC,32.98,,,KFC Yum! Center,True,0,64
2023-11-06,1:00p,REG,0,South Carolina (6),SEC,45.27,71.0,100.0,,True,0,65
